MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,SAP_CS_AG_CUST_ORDER_DISPLAY,1,T_P0920625,,X,
210,SAP_CS_AG_CUST_ORDER_PROCESS,1,T_P0920619,,X,
210,SAP_CS_AG_PROCESS,1,T_P0920626,,X,
210,SAP_CS_AG_WARRANTIES_DISPLAY,1,T_P0920903,,X,
210,SAP_CS_AG_WARRANTIES_PROCESS,1,T_P0920904,,X,
210,SAP_CS_CI_ADMIN,1,T_P0920612,,X,
210,SAP_CS_CI_AGENT,1,T_P0920605,,X,
210,SAP_CS_CI_INFOSYSTEM,1,T_P0920610,,X,
210,SAP_CS_CM_SOL_DATA_BASE_PROC,1,T_P0920609,,X,
210,SAP_CS_IB_INSTALLED_BASE_DISPL,1,T_P0920905,,X,
210,SAP_CS_IB_INSTALLED_BASE_PROC,1,T_P0920906,,X,
210,SAP_CS_SE_DISPLAY_NOTIF_ORDERS,1,T_P0920634,,X,
210,SAP_CS_SE_PROCESS_NOTIF_ORDERS,1,T_P0920631,,X,
210,SAP_ECAT,1,S_ECAT____,,X,A
210,SAP_ECET,1,S_ECET_RFC,,X,A
210,SAP_ECO_SVE_WU_ADMIN,1,T_AC450021,,X,A
210,SAP_ECO_SVE_WU_SELLER,1,T_AC450022,,X,A
210,SAP_ECO_TU_SVE,1,T_AC450019,,X,A
210,SAP_ECSHOW,1,S_ECSHOW__,,X,A
210,SAP_ECST,1,S_ECST____,,X,A
210,SAP_EC_CS_FUNCTIONS_DETAIL,1,T_P0920582,,X,
210,SAP_EC_CS_FUNCTIONS_GENERAL,1,T_P0920581,,X,
210,SAP_EC_CS_OFFLINE_DATA_ENTRY,1,T_P0920584,,X,
210,SAP_EC_CS_RECONCILIATION,1,T_P0920585,,X,
210,SAP_EC_CS_REPORT_ALL,1,T_P0920586,,X,
210,SAP_EC_CS_REPORT_CONSDATA,1,T_P0920587,,X,
210,SAP_EC_PCA_ARCHIVING,1,T_AR700066,,X,
210,SAP_EC_PCA_MODEL,1,T_P0920515,,X,
210,SAP_EC_PCA_MODEL_TP_DISPLAY,1,T_P0920516,,X,
210,SAP_EC_PCA_MODEL_TP_MAINTAIN,1,T_P0920517,,X,
210,SAP_EC_PCA_OBJECT_DISPLAY,1,T_P0920513,,X,
210,SAP_EC_PCA_OBJECT_MAINTAIN,1,T_P0920510,,X,
210,SAP_EC_PCA_PEREND,1,T_P0920520,,X,
210,SAP_EC_PCA_PEREND_POSTINGS,1,T_P0920521,,X,
210,SAP_EC_PCA_PLANNING,1,T_P0920518,,X,
210,SAP_EC_PCA_PLAN_CLOSING,1,T_P0920519,,X,
210,SAP_EC_PCA_REPORT,1,T_P0920522,,X,
210,SAP_EC_PCA_REPORT1,1,T_P0920525,,X,
210,SAP_EC_PCA_REPORT2,1,T_P0920526,,X,
210,SAP_EC_PCA_REPORT3,1,T_P0920527,,X,
210,SAP_EHS_BD_UTIL,1,T_PN230002,,X,A
210,SAP_EHS_DGP_DATABASEFILLING,1,T_71000027,,X,
210,SAP_EHS_DGP_DATASENDING,1,T_71000060,,X,
210,SAP_EHS_DGP_DATATRANSFER,1,T_71000049,,X,
